Date,CORDILLERA ADMINISTRATIVE REGION (CAR),REGION I (ILOCOS REGION),REGION II (CAGAYAN VALLEY),REGION III (CENTRAL LUZON),REGION IV-A (CALABARZON),MIMAROPA REGION,REGION V (BICOL REGION),REGION VI (WESTERN VISAYAS),REGION VII (CENTRAL VISAYAS),REGION VIII (EASTERN VISAYAS),REGION IX (ZAMBOANGA PENINSULA),REGION X (NORTHERN MINDANAO),REGION XI (DAVAO REGION),REGION XII (SOCCSKSARGEN),REGION XIII (CARAGA),BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)
9/1/1993,6014.799334,5374.141287,28365.51735,27226.13839,21355.67723,12098.15418,29257.5805,85858.05955,9792.228448,13336.11791,38906.28232,34475.78718,23506.24446,55311.74226,9688.694775,27369.57352
10/1/1993,27202.35159,197746.2481,88003.93677,245373.5088,54271.71245,100159.0901,77825.34726,210302.4654,23578.35405,36143.70921,50151.24338,61636.14118,33189.49826,67717.26114,23016.98293,21473.7696
11/1/1993,38542.24035,295383.7321,119574.924,358587.6652,71766.88704,146552.8711,105404.6893,287085.0611,31582.14095,49753.49231,57772.83478,78351.98768,37905.192,76862.47549,29080.90308,19772.72492
12/1/1993,28536.40806,212077.0198,114940.1393,272198.826,57270.40051,116294.0388,87811.96344,258359.4735,29543.505,53191.79849,49487.92184,64583.87114,34196.30973,70473.26337,23091.11399,20561.50548
1/1/1994,9353.558083,66171.54782,95054.39315,103663.3101,29430.10149,60763.77631,53381.99914,211294.147,25151.12067,58786.85806,36854.19151,39763.45401,25795.93943,60755.76264,9936.238291,23996.5479
2/1/1994,4302.979256,23362.50125,91060.4198,55467.01469,19455.96001,39392.97946,40007.67453,184862.732,23286.94242,62356.11188,29443.71893,28989.86867,22657.79003,54698.38257,6456.041747,24883.09389
3/1/1994,7196.462661,19006.95093,98901.18704,83791.67517,23340.93849,37999.24423,41936.32633,132731.121,19862.93691,46782.03006,23393.08956,27975.67732,25930.27054,45969.85479,12336.71996,20325.35821
4/1/1994,19247.85427,20761.52901,119010.1314,196040.2662,37151.88267,44393.31369,50489.72059,34568.18167,15052.84661,20936.53079,12825.51582,29391.65521,34841.99675,28167.32763,31891.39668,9808.510298
5/1/1994,24767.54155,14589.56724,127752.0619,245567.1612,42453.23817,42703.06196,52709.64852,12209.54693,11917.54369,10488.3193,8350.80798,28286.04988,38746.41505,21565.54081,42186.11823,6973.295455
6/1/1994,18904.60417,12482.90376,111877.8067,173464.5726,35888.87917,36395.62435,51697.63089,34668.2714,11202.6097,10677.14991,13220.6762,28899.29491,33025.58819,34413.13156,33157.48509,14395.19425
7/1/1994,6478.904192,2848.016513,79011.29796,26109.42066,20837.33221,19651.37374,45611.33102,148077.5509,9618.880613,11704.59253,26387.08654,26132.42739,20634.71091,67013.49559,15604.05801,36574.91266
8/1/1994,3566.284959,2269.790468,65946.72391,7536.808544,16172.84909,15531.82294,44700.62938,206292.2858,8963.171489,11907.99665,33490.33513,26675.43662,16311.37671,85230.77888,9765.267348,49017.23481
9/1/1994,8191.810849,21995.19302,79989.97813,39639.7708,24908.8187,33587.80332,55663.0396,176521.1633,12720.9479,20763.41082,34696.57833,39400.13599,22443.91238,82290.72553,13014.67464,45132.85253
10/1/1994,26444.83194,208722.067,112583.6656,286611.5322,49542.10319,90517.62173,78672.06548,112983.5439,19988.26576,38858.47184,34968.32591,67729.26513,38088.45187,73053.50102,23357.12628,37589.93388
11/1/1994,35988.25404,307405.3848,129397.3069,414862.5593,62405.85801,122164.8847,91616.60029,90062.6172,24546.35121,50476.34872,36143.17245,84263.31327,46262.27352,70346.76667,28023.65568,34050.07719
12/1/1994,26764.91402,217854.5483,126674.0275,308294.9086,50310.0388,95930.49362,83083.33423,97997.83889,26139.38303,54042.17944,33681.50164,72170.4216,42025.27461,66863.7323,25320.21805,28006.98894
1/1/1995,9274.606627,59314.84336,118959.7842,106118.2586,27401.80623,48327.97308,67836.99663,133095.5313,29290.10218,59027.63616,31122.50846,49632.5874,33131.60684,65675.21206,16352.8901,19718.33207
2/1/1995,4398.028816,17915.46551,116346.1596,50058.53897,18728.40409,30136.78452,60072.13262,143065.4363,30972.61216,62681.33914,28668.51147,39642.13834,29416.73551,62066.08455,14398.1902,14293.0835
3/1/1995,6944.364557,15298.69113,110073.0562,75440.20248,21778.78968,31328.24241,54664.87075,104456.0324,24171.28566,52054.0247,23589.98007,38377.27426,29104.65765,51290.70339,23751.9197,12580.58443
4/1/1995,17202.24872,20681.34018,103603.3591,186984.6066,33398.37078,42492.87741,49122.11423,28434.74194,13121.78122,35262.01351,12917.16898,40240.80252,31150.39432,29352.49516,49121.90809,7888.08002
5/1/1995,21817.57734,16413.97255,97342.13672,234057.5339,37501.52393,44049.73291,43729.72632,11761.93026,7983.85789,26216.14665,9373.402664,38869.31666,30812.7605,21545.95912,63000.9001,6645.14447
6/1/1995,17407.17395,14888.68727,88567.50419,162891.8595,30191.10529,36272.38968,40420.15945,32266.32779,7705.360886,23902.83984,16778.42836,36322.88082,26772.84518,34887.54572,48603.19182,15311.77551
7/1/1995,7321.907388,4671.800357,66211.48115,18551.50638,14971.62133,16585.69902,33798.82149,121653.9655,6888.305877,20405.53537,37938.80399,29705.96943,17253.01904,66633.77238,20319.56664,40731.65118
8/1/1995,4837.246676,4138.565757,58930.36187,4158.337596,10188.16263,12058.85348,30784.60231,168923.3797,6630.004045,18219.09327,49555.74744,27466.41031,14186.94984,85066.61996,11766.69257,55453.48817
